iter	RMSE	MAPE
0	0.3874104597	0.1381091878
1	0.379725542	0.1353362346
2	0.3720867145	0.1323084079
3	0.3667737748	0.1304449806
4	0.3603632478	0.1279869585
5	0.3552144539	0.1263908824
6	0.3504766833	0.124395141
7	0.348090754	0.1234579343
8	0.3419022667	0.1213591434
9	0.3354551178	0.1190199513
10	0.3298258021	0.116820979
11	0.3251665036	0.1153404553
12	0.3238429826	0.1149662914
13	0.3184749231	0.1130719855
14	0.3129741723	0.1111838458
15	0.3080746043	0.1096129006
16	0.3038666534	0.1080930806
17	0.2993984669	0.1062759818
18	0.2952236821	0.1047106783
19	0.2901030951	0.1028165765
20	0.2860429159	0.1011910952
21	0.2814892736	0.0993671491
22	0.2786603833	0.09830446077
23	0.2756333226	0.09710211491
24	0.2726087528	0.09609630806
25	0.2692866814	0.09477987481
26	0.2651802646	0.09332035467
27	0.2611519905	0.09204057806
28	0.2568667546	0.09039216246
29	0.2530316255	0.08917476631
30	0.2487911352	0.08736916056
31	0.2449766775	0.08639352432
32	0.2422155951	0.0852028895
33	0.2385828508	0.08384761746
34	0.2355025395	0.08257870464
35	0.2324126208	0.08149233148
36	0.2280149859	0.07978647983
37	0.2252558727	0.07881024685
38	0.221473345	0.07731172474
39	0.2193195047	0.07642235385
40	0.2170366957	0.07564660448
41	0.2135478701	0.07426230324
42	0.2106936989	0.07311571391
43	0.2066059093	0.07155190269
44	0.2036064715	0.07022586401
45	0.2002933194	0.06891155331
46	0.1969829262	0.06777255344
47	0.1937070187	0.06647534967
48	0.1904940478	0.06534444305
49	0.1869688601	0.06405011103
50	0.1836063024	0.06301870144
51	0.1809611738	0.06195949817
52	0.1775685323	0.06071954683
53	0.1755028014	0.05989722781
54	0.1744549894	0.05947926095
55	0.1724197469	0.05872812835
56	0.1697236198	0.05772424248
57	0.1670304483	0.05657138413
58	0.1650680243	0.05578721923
59	0.1624698061	0.0548636929
60	0.1611184506	0.05434015359
61	0.1596001811	0.05385905555
62	0.1572253569	0.05290231606
63	0.1546662003	0.05186117921
64	0.1519058407	0.05087716465
65	0.1504689007	0.05029014744
66	0.1483608354	0.04949503356
67	0.1464927596	0.04876287543
68	0.1446496892	0.04804440646
69	0.1432679593	0.04752677802
70	0.1416873726	0.04708565689
71	0.1409138347	0.04674450213
72	0.1391096967	0.04613185363
73	0.1375815583	0.04552393769
74	0.1360001198	0.04500980986
75	0.1340467503	0.04424477615
76	0.1330968534	0.04385073391
77	0.1312419821	0.0431340671
78	0.1292864649	0.04250691084
79	0.1273951454	0.04178233059
80	0.1260432608	0.04116516097
81	0.1249657117	0.04063916459
82	0.1231747398	0.0399256184
83	0.1214078396	0.0392106422
84	0.1203059019	0.03873499299
85	0.1188343381	0.03814159541
86	0.1181838767	0.03788958424
87	0.1167929215	0.03736302714
88	0.1146157066	0.03655596501
89	0.1142459532	0.03636717063
90	0.1132392587	0.03595348718
91	0.1122017485	0.03547291605
92	0.1101324146	0.03486237152
93	0.1092564655	0.03452087845
94	0.1078725962	0.03391827119
95	0.1065245939	0.03339729032
96	0.1048817497	0.03283111706
97	0.1037723511	0.03242125556
98	0.1027665688	0.03199400716
99	0.1009779316	0.03143658023
100	0.09998916521	0.031114008
101	0.09801550502	0.03046662759
102	0.09707029566	0.03008241208
103	0.09582968396	0.02964781901
104	0.0945990983	0.02914610037
105	0.09354719442	0.02875593972
106	0.09174084978	0.0282459294
107	0.09120995859	0.02797242752
108	0.09043534768	0.02763921913
109	0.08985644618	0.02733347229
110	0.08854329037	0.02695446764
111	0.08792713943	0.0266428313
112	0.08698993471	0.02625530327
113	0.08656123288	0.02604586044
114	0.08594141348	0.02571985381
115	0.085396026	0.0254559101
116	0.08497751278	0.02522919955
117	0.08374024811	0.02486806817
118	0.08263231447	0.02449022746
119	0.08185221145	0.02420101147
120	0.08041850796	0.02366815854
121	0.07948326702	0.02334082047
122	0.07802576276	0.02294763213
123	0.0771358233	0.02264453659
124	0.07595082171	0.02223919832
125	0.07534770172	0.02203421559
126	0.07498642755	0.02184969384
127	0.07420627434	0.02155709933
128	0.07307335149	0.02113393499
129	0.07242758645	0.02080567497
130	0.07167987772	0.02048660895
131	0.07122947191	0.02026281205
132	0.07063427746	0.02002041734
133	0.07021664783	0.01977983068
134	0.06950581773	0.01952374631
135	0.06862629426	0.01924398261
136	0.06829401361	0.01908674919
137	0.06767597542	0.0187949238
138	0.06744083794	0.01866214341
139	0.06680737114	0.01839125143
140	0.06551779061	0.0180196614
141	0.06493792103	0.01778707982
142	0.06409319345	0.01748306117
143	0.06362823147	0.01728601438
144	0.06310235601	0.01703221029
145	0.06231756104	0.01682500885
146	0.06133475235	0.01659754109
147	0.0610417372	0.0164447908
148	0.06053578168	0.01628503947
149	0.06004744925	0.01608203366
150	0.05954056995	0.01586683006
151	0.05881955749	0.01562614278
152	0.05856769025	0.01548410527
153	0.05818396222	0.01529382212
154	0.05796745655	0.01515619827
155	0.05745991148	0.01501185857
156	0.05665532673	0.01477375833
157	0.05612746495	0.01459477816
158	0.05578338429	0.01441572907
159	0.05485531406	0.01419442417
160	0.05417935578	0.0140211064
161	0.05303590997	0.01370493289
162	0.05259229266	0.01353156216
163	0.05166384971	0.01328183366
164	0.051367418	0.01315978408
165	0.05086713731	0.01295411673
166	0.05018412259	0.012756254
167	0.04933719004	0.01254378994
168	0.04906116186	0.01240900768
169	0.04880047739	0.01229029246
170	0.04777842698	0.01201102991
171	0.04733469548	0.01184991204
172	0.04675295454	0.01167392468
173	0.04642102394	0.0115467784
174	0.04618653078	0.01142718347
175	0.04549373533	0.01122415955
176	0.04519096806	0.01108675065
177	0.04439110275	0.01089627301
178	0.04427787942	0.01081628128
179	0.04398022183	0.01069559358
180	0.04368975971	0.01058796054
181	0.04278351535	0.01033125207
182	0.04236571877	0.01019681068
183	0.04218639574	0.01009894598
184	0.04146113141	0.009926435524
185	0.04132854628	0.009840144639
186	0.04060994348	0.009679735901
187	0.04028206094	0.009560462915
188	0.03977262531	0.009416347465
189	0.03957454191	0.009313111653
190	0.03926605548	0.009210810835
191	0.03877695047	0.009069860017
192	0.03858613192	0.00897196505
193	0.03836181072	0.008864658325
194	0.03765218433	0.00867361172
